Time,Amplitude
1.31,-0.04529394645147584
1.312,-0.047929656063337066
1.314,-0.05599636282511142
1.316,-0.06353383959099836
1.318,-0.06072807755504383
1.32,-0.05029918662819478
1.322,-0.04183567155144007
1.324,-0.0446696595875159
1.326,-0.05729525279388349
1.328,-0.06753437461420263
1.33,-0.0666440685552706
1.332,-0.054967985052816803
1.334,-0.045197275650149804
1.336,-0.04635382204388435
1.338,-0.055156979885265175
1.34,-0.06433184126941344
1.342,-0.06454405831447683
1.344,-0.057145221567805965
1.346,-0.05037514665414952
1.348,-0.04924912343509106
1.35,-0.05220148308976205
1.352,-0.055228646871869416
1.354,-0.053816304600856846
1.356,-0.05186218271673764
1.358,-0.05137739949445309
1.36,-0.05367661078204453
1.362,-0.054471988879118596
1.364,-0.054116856966863275
1.366,-0.05277091109145854
1.368,-0.053085441170109146
1.37,-0.05621687368528863
1.372,-0.05953444651734608
1.374,-0.062139833832526255
1.376,-0.06043476436583532
1.378,-0.055448038582485135
1.38,-0.05013891429087012
1.382,-0.04833750491065854
1.384,-0.050528284695558645
1.386,-0.052902348696485295
1.388,-0.05391988523120513
1.39,-0.050041794788938436
1.392,-0.04375102608713266
1.394,-0.042358706531657166
1.396,-0.04848943176856599
1.398,-0.0610629473648615
1.4,-0.06936715530372707
1.402,-0.0682112756106168
1.404,-0.06034345702048309
1.406,-0.05215095489743089
1.408,-0.05339628317435078
1.41,-0.06042755315384127
1.412,-0.06711069342510022
1.414,-0.06540055842111343
1.416,-0.05823113077891385
1.418,-0.052549652003315885
1.42,-0.05235417696718531
1.422,-0.05497223577084234
1.424,-0.0563825934428303
1.426,-0.05372603305239488
1.428,-0.052851281909112965
1.43,-0.05546881830559619
1.432,-0.05869177922388339
1.434,-0.057185899341686525
1.436,-0.050495544838877235
1.438,-0.04521467067748086
1.44,-0.049245618816633
1.442,-0.05928009023562261
1.444,-0.06774156889933904
1.446,-0.06436531409061441
1.448,-0.05239381942617814
1.45,-0.0420731252570334
1.452,-0.04353116678192459
1.454,-0.05459367818158813
1.456,-0.06302686681829055
1.458,-0.06057317319975269
1.46,-0.048364504414290584
1.462,-0.036875003290808
1.464,-0.03564166029158654
1.466,-0.04332702497866083
1.468,-0.05570112554708664
1.47,-0.0627580995167117
1.472,-0.061657453268702596
1.474,-0.05345218149744353
1.476,-0.04301000497878323
1.478,-0.036294147099132576
1.48,-0.03561954353923042
1.482,-0.04052396934788178
1.484,-0.04339630954987614
1.486,-0.03915539809526548
1.488,-0.027006311267494407
1.49,-0.015415564101434256
1.492,-0.011938197333458526
1.494,-0.01906776378718142
1.496,-0.02743104172391189
1.498,-0.0297444082453933
1.5,-0.02369221875769336
1.502,-0.012635363174490372
1.504,-0.005716538800319555
1.506,-0.005044030143876
1.508,-0.003987312697312902
1.51,0.0008176771024511567
1.512,0.009296954319807739
1.514,0.01894488776052831
1.516,0.02526866484841703
1.518,0.02923687081362047
1.52,0.0332102206518475
1.522,0.03347111878147725
1.524,0.02987085547045352
1.526,0.023866290561265432
1.528,0.02290941018074541
1.53,0.03110474153159325
1.532,0.04475732795472861
1.534,0.05487432143581768
1.536,0.05310945879146645
1.538,0.04170371329984117
1.54,0.03251785637352876
1.542,0.031060037997633773
1.544,0.03419581979079339
1.546,0.033017141095488284
1.548,0.02209287100869361
1.55,0.004970188443647658
1.552,-0.013003838362574457
1.554,-0.02562331027348094
1.556,-0.03462552684960322
1.558,-0.04271839859523577
1.56,-0.04906762319163373
1.562,-0.052684809505622196
1.564,-0.055835642995249714
1.566,-0.06169141902710391
